Place,Type of meteorite,"Mass, g",Fell/found?,Year,Database,Coordinate 1,Coordinates 2
LEW 86022,L3.2-3.5,351.7,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=12962,-84.23169,161.52968
MET 01060,LL5,351.4,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=16293,-79.68333,159.75
DaG 968,L5,351,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=6508,26.89267,16.57667
A-87116,H4,350.91,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=2473,-72,26
Silverton (New South Wales),L6,350.7,Found,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=23600,-31.88333,141.2
QUE 99019,L5,350.5,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=21471,-84,168
PAT 91504,L6,350.4,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18123,-84.96515,-67.48303
Chandler,L6,350.4,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=53491,33.24558,-111.89633
RaS 232,H5,350.3,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=35664,20.55215,55.92297
SaU 521,H5,350.1,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=52006,20.40432,56.64205
Calce,Doubtful stone,350,Fell,1635,http://www.lpi.usra.edu/meteor/metbull.php?code=5195,45.5,11.5
Mhow,L6,350,Fell,1827,http://www.lpi.usra.edu/meteor/metbull.php?code=16629,25.9,83.61667
Pokhra,H5,350,Fell,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=18858,26.71667,82.66667
Kakangari,K3,350,Fell,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=12230,12.38333,78.51667
Sete Lagoas,H4,350,Fell,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=23504,-19.46667,-44.21667
Itzawisis,"Pallasite, PES",350,Found,1946,http://www.lpi.usra.edu/meteor/metbull.php?code=12060,-26.26667,18.18333
Wethersfield (1971),L6,350,Fell,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=24250,41.7,-72.65
