id,"titel","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
312,"Die Funktions-Chino-Hose für Freizeit und Büro","Deutschland","Berlin","Mode",9600,12968,61,0,103,100,234,93,31,"31.08.12 11:05","01.11.12","http://www.startnext.de/slik17"
313,"Kellyfication- eine theatrale Zeitreise","Deutschland","München","Theater",7000,8270,5295,0,78,70,136,41,11,"20.09.12 17:26","01.11.12","http://www.startnext.de/kellyfication"
314,"Andromeda Mega Express Orchestra - Live-Album @ Stattbad Wedding","Deutschland","Berlin","Musik",5000,5089,4010,0,36,36,71,8,2,"21.08.12 14:36","31.10.12","http://www.startnext.de/ameo"
315,"Tramprennen 2012 - Ein Magazin","Deutschland","Hamburg","Journalismus",1500,1841,121,0,106,90,80,16,10,"17.08.12 16:01","31.10.12","http://www.startnext.de/tramprennen2012"
316,"Debüt Album Stefany June","Deutschland","Bielefeld","Musik",3500,3540,815,0,34,30,65,5,5,"07.08.12 15:43","31.10.12","http://www.startnext.de/debuet-album-stefany-june"
317,"Whacky Wit - Das besondere Brettspiel","Deutschland","Dettingen an der Erms","Erfindung",9800,10699,7691,0,28,27,155,33,29,"17.09.12 15:21","31.10.12","http://www.startnext.de/whacky-wit"
318,"COOL AUSSEHEN &#8211, das Buch über Mode und Jugendkulturen","Deutschland","Berlin","Mode",2500,2818,448,0,84,82,89,15,11,"01.10.12 12:39","31.10.12","http://www.startnext.de/coolaussehen"
319,"The Vienna Chamber Diaries","Österreich","Wien","Musik",2500,2535,265,0,39,33,42,13,6,"17.09.12 11:36","30.10.12","http://www.startnext.de/vienna-chamber-diaries"
320,"Airlords of Airia","Deutschland","München","Film / Video",10000,10847,4382,0,134,128,255,71,43,"20.08.12 10:53","28.10.12","http://www.startnext.de/airlords"
321,"Zum Kollektiv ein Ladencafé","Deutschland","Lüneburg","Event",1000,1119,123,0,48,48,76,18,3,"26.07.12 11:03","24.10.12","http://www.startnext.de/zum-kollektiv"
322,"Wasser und Zeit - Fotos von Clemens Molinari","Deutschland","Mainz","Fotografie",2500,2680,1510,0,12,9,35,4,8,"19.09.12 15:02","19.10.12","http://www.startnext.de/wasserzeit"
323,"Kurzfilm 'precario' realisieren","Deutschland","Mainz","Film / Video",750,750,650,0,4,4,30,1,11,"11.09.12 15:45","17.10.12","http://www.startnext.de/precario"
324,"Mikrokosmos Moabit - RiesenMemory","Deutschland","Berlin","Fotografie",450,511,136,0,42,38,26,7,5,"24.09.12 17:21","17.10.12","http://www.startnext.de/mikrokosmos-moabit"
325,"Schmiede // the playground of ideas","Österreich","Salzburg","Musik",5000,5006,2266,0,95,91,110,15,19,"14.08.12 17:59","15.10.12","http://www.startnext.de/schmiede"
326,"Teenies &#8211, junge Gesichter in Berlin","Deutschland","Berlin","Fotografie",1000,1076,167,0,88,85,69,13,13,"27.07.12 11:54","15.10.12","http://www.startnext.de/fotoband-teenies"
327,"Auf der Suche nach Ringo","Deutschland","Berlin","Film / Video",4000,4052,3163,0,69,65,43,15,4,"18.07.12 16:38","15.10.12","http://www.startnext.de/ringo"
328,"Bücherbüffet 2012, die Karlsruher Buchmesse für Kleinverlage","Deutschland","Karlsruhe","Event",500,605,160,0,27,27,56,18,13,"17.08.12 16:53","15.10.12","http://www.startnext.de/buecherbueffet"
329,"IN TRANSIT - Der Blick der Anderen: Partizipatorisches Fotoprojekt","Deutschland","Berlin","Fotografie",1800,2123,488,0,69,58,72,15,18,"11.09.12 14:43","15.10.12","http://www.startnext.de/in-transit"
330,"München-Bayreuth(AT)","Deutschland","München","Film / Video",1500,1670,425,0,33,30,37,2,1,"11.09.12 12:41","15.10.12","http://www.startnext.de/m-b-at"
331,"Die Kunksmuhme ","Deutschland","Halle (Saale)","Musik",2000,3175,2970,0,12,12,40,10,12,"07.09.12 16:10","14.10.12","http://www.startnext.de/die-kunksmuhme"
332,"Sie nannten ihn Spencer","Österreich","Wien","Film / Video",5000,8177,1007,0,296,250,292,70,24,"13.10.12 19:23","11.10.12","http://www.startnext.de/budspencermovie"
333,"HERR BEHEMOTH LÄDT ZUM BANKETT","Deutschland","Regensburg","Film / Video",500,550,220,0,11,11,24,7,55,"29.08.12 16:59","10.10.12","http://www.startnext.de/bankett"
334,"Melancholodic - Alles nur Show (das neue Album auf CD)","Deutschland","Bergisch Gladbach","Musik",1500,1916,281,0,43,43,52,11,9,"29.08.12 11:50","10.10.12","http://www.startnext.de/alles-nur-show"
335,"Retten wir die soziale Hängematte!","Österreich","Graz","Kulturelle Bildung",2900,3080,805,0,136,133,118,27,20,"11.09.12 15:21","07.10.12","http://www.startnext.de/soziale-haengematte"
336,"#CYNAL 01 - Kunstjournal","Deutschland","Dresden","Journalismus",2013,2383,1153,0,47,44,73,5,6,"06.09.12 09:39","06.10.12","http://www.startnext.de/cynal-kunstjournal"
337,"Männer zeigen Filme & Frauen ihre Brüste","Deutschland","Berlin","Film / Video",6000,8600,2640,0,214,205,242,49,23,"10.08.12 14:19","06.10.12","http://www.startnext.de/maennerundbrueste"
338,"Tocqueville 2012 &#8211, Roadtrip durch Amerika","Deutschland","Berlin","Journalismus",1000,1180,210,0,39,39,61,10,2,"13.09.12 13:57","05.10.12","http://www.startnext.de/tocqueville2012"
339,"UNA DONNA MILLE EMOZIONI","Deutschland","Berlin","Film / Video",1999,2025,55,0,15,15,54,8,5,"13.09.12 11:44","05.10.12","http://www.startnext.de/lupo-di-capri"
340,"Searching for the Northern Soul - so klingt Skandinavien","Deutschland","Leipzig","Musik",1981,1985,1820,0,9,8,32,5,5,"06.09.12 09:35","04.10.12","http://www.startnext.de/searchingforthenorthernsoul"
341,"Entwurzelt","Deutschland","Weimar","Film / Video",4000,4024,531,0,93,89,44,13,0,"18.07.12 16:42","02.10.12","http://www.startnext.de/entwurzelt"
342,"Calling - Ein getanzter Liederabend","Deutschland","Potsdam","Theater",2222,2231,1640,0,35,31,39,9,4,"07.09.12 15:57","02.10.12","http://www.startnext.de/calling"
343,"Filmequipment für die Komödie 'Der kleine Gärtner'","Deutschland","Frankfurt am Main","Film / Video",500,500,335,0,11,11,20,4,3,"21.08.12 15:41","01.10.12","http://www.startnext.de/der-kleine-gaertner"
344,"SCHATTENSEITEN - Kurzfilm","Deutschland","Mönchengladbach","Film / Video",500,696,517,0,14,13,20,4,5,"01.08.12 14:10","01.10.12","http://www.startnext.de/schattenseiten-film"
345,"Hamburger Klangwerktage","Deutschland","Hamburg","Musik",4000,4197,2067,370,38,35,77,4,2,"30.07.12 11:02","01.10.12","http://www.startnext.de/klangwerktage"
346,"The last Hangmen - Mixing + Mastering CD 'Executing Empires'","Deutschland","Dresden","Musik",1200,1864,107,0,51,45,56,23,6,"09.08.12 10:51","01.10.12","http://www.startnext.de/thelasthangmen"
347,"Bray Head Dubstep - Irland","Deutschland","Frankfurt am Main","Musik",1000,1020,390,0,11,10,35,4,4,"15.08.12 15:20","01.10.12","http://www.startnext.de/bray-head-dubstep"
348,"Land of Giants","Deutschland","Berlin","Film / Video",7500,14305,9285,0,121,120,217,55,18,"05.09.12 16:10","01.10.12","http://www.startnext.de/land-of-giants"
349,"Bischler l CD/DVD-Produktion l Neues Album","Deutschland","Heidelberg","Musik",3000,3125,115,0,90,88,102,30,19,"06.07.12 16:25","30.09.12","http://www.startnext.de/bischler"
350,"YESTERDAY SHOP: CD- und Vinylpressung ","Deutschland","Berlin","Musik",1500,2962,387,0,79,76,85,8,5,"03.08.12 13:33","30.09.12","http://www.startnext.de/yesterdayshop"
351,"WOOLOOMOOLOO EP-VOKALPRODUKTION","Deutschland","Berlin","Musik",2000,2539,325,0,68,68,53,12,1,"13.09.12 18:28","30.09.12","http://www.startnext.de/wooloomooloo-ep"
352,"Abschlussausstellung 'in search of' - Group show 'in search of'","Deutschland","Berlin","Kunst",2000,2150,2100,0,3,3,33,4,0,"20.09.12 10:09","30.09.12","http://www.startnext.de/in-search-of"
353,"LUCY LAY TOUR SEPTEMBER 2012!","Deutschland","Pforzheim","Musik",1500,1910,180,0,39,38,53,9,10,"07.09.12 15:42","30.09.12","http://www.startnext.de/lucy-lay-tour-2012"
354,"Fly  I  Cry  I  Die","Deutschland","München","Film / Video",2500,2571,1211,0,33,33,52,18,15,"24.08.12 14:11","29.09.12","http://www.startnext.de/fly-l-cry-l-die"
355,"A Song For The Waltons","Deutschland","Los Angeles","Musik",2500,2676,857,0,70,66,71,27,21,"23.08.12 12:22","29.09.12","http://www.startnext.de/good-night-john-boy"
356,"Uwe Ungerer - The Best of Keyboardworks Volume 1 (CD-Produktion)","Deutschland","Kitzingen","Musik",2000,2531,1605,0,45,37,60,19,10,"06.07.12 16:46","28.09.12","http://www.startnext.de/keys-bestof"
357,"Animationskurzfilm 'Rue des fleurs'","Deutschland","Dresden","Film / Video",1500,1616,911,0,21,19,43,9,9,"16.07.12 16:47","28.09.12","http://www.startnext.de/rue-des-fleurs"
358,"Buschow - Langspielfilm","Deutschland","Berlin","Film / Video",5000,5120,1445,0,77,72,99,9,44,"26.07.12 11:52","28.09.12","http://www.startnext.de/buschow"
359,"Tiefenentspannt - Neues Album: Bernd!","Deutschland","Hamburg","Musik",1500,1637,823,0,41,35,46,19,10,"27.06.12 16:20","27.09.12","http://www.startnext.de/tiefenentspannt"
360,"Wimmelbild 'Demokratie in Sachsen'","Deutschland","Dresden","Comic",500,700,325,0,52,46,62,17,4,"20.08.12 09:38","27.09.12","http://www.startnext.de/wimmelbild"
361,"Filmfest Düsseldorf 2012","Deutschland","Düsseldorf","Event",1250,1250,60,690,63,54,77,16,3,"27.06.12 14:33","26.09.12","http://www.startnext.de/filmfest-duesseldorf-2012"
362,"Animationsfilm Johann Sebastian Bach und die Thomaner 'Totenmesse'","Deutschland","Leipzig","Film / Video",4500,4512,3862,0,49,45,43,5,1,"18.07.12 16:43","26.09.12","http://www.startnext.de/totenmesse"
363,"2. Göttinger Heimkino-Festival","Deutschland","Göttingen","Event",500,555,190,0,15,14,25,4,19,"27.07.12 10:27","23.09.12","http://www.startnext.de/heimkino-festival"
364,"Kaminski-On-Air präsentiert den »Ring des Nibelungen«","Deutschland","Berlin","Hörspiel / Hörbuch",5000,5982,737,0,104,99,141,39,11,"02.07.12 16:05","23.09.12","http://www.startnext.de/kaminski"
365,"SYNCHRONZEUGEN - Tanztheater mit Steptanz, Schauspiel und live Musik","Deutschland","Leipzig","Theater",4200,4505,1460,0,100,94,104,16,10,"15.08.12 16:51","22.09.12","http://www.startnext.de/synchronzeugen"
366,"Corpo Liquido - Global Water Dances Berlin","Deutschland","Berlin","Theater",1000,1000,355,0,19,15,50,3,1,"29.08.12 16:35","22.09.12","http://www.startnext.de/corpo-liquido"
367,"JOCO - CD Release","Deutschland","Leer (Ostfriesland)","Musik",1500,1565,663,0,40,40,55,11,7,"02.07.12 16:16","21.09.12","http://www.startnext.de/joco"
368,"das leben ist schön, aber manchmal fehlt ein bisschen kohle","Deutschland","Hannover","Musik",1000,1000,270,0,19,17,39,10,6,"22.06.12 12:23","21.09.12","http://www.startnext.de/janfrederikwarda"
369,"David Munyon - Water Side - NEUES BANDALBUM","Deutschland","Chemnitz","Musik",2500,2805,140,0,62,59,62,28,15,"05.07.12 15:54","21.09.12","http://www.startnext.de/david-munyon-water-side"
370,"Bildband über Finnland (Wasserwelten)","Deutschland","Joensuu","Fotografie",2400,2420,1720,0,23,14,59,10,13,"21.06.12 14:53","20.09.12","http://www.startnext.de/finnland-bildband"
371,"inSIGHT?","Deutschland","München","Theater",1000,1000,630,0,6,6,49,4,1,"05.09.12 12:03","19.09.12","http://www.startnext.de/insight-perspectives-on"
372,"Von Mond zu Mund - Tanzprojekt im Museum für Kommunikation","Deutschland","Berlin","Theater",5000,5085,950,0,34,29,80,15,10,"24.08.12 13:45","18.09.12","http://www.startnext.de/von-mond-zu-mund"
373,"Breakdance im Theater - 70 Minuten Tanz-Theater - by DDC Company","Deutschland","Schweinfurt","Theater",7500,8150,4736,0,53,46,117,10,1,"19.06.12 11:39","16.09.12","http://www.startnext.de/weg-der-elemente"
374,"Miu - EP-Produktion","Deutschland","Hamburg","Musik",1500,1772,212,0,52,50,72,14,9,"29.06.12 16:57","16.09.12","http://www.startnext.de/miu"
375,"ISABEL IN WINTER","Deutschland","München","Film / Video",1800,1800,136,0,44,40,59,4,6,"17.08.12 11:02","16.09.12","http://www.startnext.de/isabelinwinter"
376,"Enzlingbrüder","Deutschland","Nürnberg","Film / Video",6500,6606,1256,0,62,57,119,17,42,"18.06.12 16:25","15.09.12","http://www.startnext.de/enzlingbrueder-1"
377,"Syrien und der Nahe Osten","Deutschland","Hamburg","Fotografie",700,755,230,0,16,16,35,3,11,"30.07.12 15:53","15.09.12","http://www.startnext.de/syrien-und-libanon"
378,"Das neue Album von MELODY FOUND","Deutschland","Hamburg","Musik",1500,1518,64,0,42,39,60,23,12,"01.08.12 14:27","15.09.12","http://www.startnext.de/melodyfound"
379,"Kritische Ausgabe # 23 - Schwerpunktthema GELD","Deutschland","Bonn","Literatur",1000,1022,537,70,40,40,51,3,13,"30.07.12 17:28","15.09.12","http://www.startnext.de/kritische-ausgabe-23"
380,"ZwischenRaum","Deutschland","Arnstadt","Kunst",500,585,520,0,7,6,36,8,8,"20.08.12 16:43","15.09.12","http://www.startnext.de/zr"
381,"The Hirsch Effekt: Ein Film über die Tour im September 2012","Deutschland","Hannover","Film / Video",800,1912,373,0,108,103,100,24,17,"26.06.12 15:04","14.09.12","http://www.startnext.de/the-hirsch-effekt-tourfilm"
382,"Fujiama Nightclub Urban Music & Dance Show","Deutschland","Berlin","Musik",5000,5040,4210,0,45,40,78,22,45,"27.06.12 14:56","13.09.12","http://www.startnext.de/fujiamanightclub"
383,"Tanzarmee","Deutschland","München","Theater",2000,2154,1409,0,40,37,81,22,21,"10.08.12 16:59","13.09.12","http://www.startnext.de/tanzarmee"
384,"TM-Brevier - Handbuch für Transmänner","Deutschland","Düsseldorf","Literatur",2500,2512,885,0,60,52,57,13,15,"12.06.12 15:53","12.09.12","http://www.startnext.de/tm-brevier"
385,"Komödie: Fatman - The Quark Knight","Deutschland","Köln","Film / Video",2000,2283,838,0,55,51,83,11,9,"21.06.12 09:13","12.09.12","http://www.startnext.de/fatman-the-quark-knight"
386,"'Vertreibung ins Ungewisse - die Überlebensgeschichte der Faye Cukier' ","Deutschland","Köln","Film / Video",3800,3900,535,0,14,13,63,8,26,"22.08.12 11:34","11.09.12","http://www.startnext.de/vertreibung-ins-ungewisse"
387,"3 DAYS OF CINEMA - drei Länder | drei Kinos | Millionen Geschichten","Deutschland","Augsburg","Film / Video",2333,2334,1736,0,25,22,37,16,11,"26.06.12 14:28","10.09.12","http://www.startnext.de/3-days-of-cinema"
388,"»Come, ye Sons of Arts« &#8211, Festtagsoden von Daniel & Henry Purcell","Deutschland","Köln","Musik",2500,2835,345,0,54,50,60,10,7,"16.07.12 12:44","10.09.12","http://www.startnext.de/purcell-oden"
389,"HANS DAMPF - ein Film wie ein Mixtape mit 3 Seiten...","Deutschland","Köln","Film / Video",5555,5744,419,0,107,105,138,31,10,"19.07.12 16:45","09.09.12","http://www.startnext.de/hans-dampf"
390,"HERBSTFLATTERN","Deutschland","Berlin","Film / Video",15000,15578,2663,0,195,173,246,108,47,"08.06.12 16:44","08.09.12","http://www.startnext.de/herbstflattern"
391,"Myanmar Goes Democrazy","Deutschland","Köln","Film / Video",4999,5791,3893,0,69,68,153,24,15,"18.07.12 15:53","08.09.12","http://www.startnext.de/myanmargoesdemocrazy"
392,"German Lifestyle Award - Materialtransformationen","Deutschland","Düsseldorf","Mode",500,520,510,0,5,5,25,0,0,"12.07.12 17:59","07.09.12","http://www.startnext.de/gla-materialtransformationen"
393,"The Jerks - Debütalbum (Mastering / Pressung)","Deutschland","Stuttgart","Musik",2500,2921,171,0,108,106,101,15,4,"06.08.12 16:01","07.09.12","http://www.startnext.de/the-jerks-debuetalbum"
394,"Ausstellungsprojekt 'The Blue Noses Group (RUS) 1999-2009'","Deutschland","Kiel","Kunst",800,850,125,255,29,27,47,6,1,"14.08.12 12:46","05.09.12","http://www.startnext.de/blue-noses-im-kunstraum-b"
395,"haben oder sein - Ein Film zum Thema 'Überkonsum'","Deutschland","Berlin","Film / Video",700,727,302,0,20,17,47,4,15,"27.07.12 10:44","03.09.12","http://www.startnext.de/ueberkonsum"
396,"vierte generation singular perfekt","Deutschland","Halle (Saale)","Film / Video",3000,3012,1502,0,125,124,54,4,4,"18.07.12 16:38","02.09.12","http://www.startnext.de/vierte-generation"
397,"Stereo 3D Spot","Deutschland","Lemgo","Film / Video",600,613,483,0,13,12,30,4,22,"27.06.12 14:09","01.09.12","http://www.startnext.de/3d-spot"
398,"Kill and Pray, Fay Wray! - Ein Passionsbericht","Deutschland","Hildesheim","Film / Video",1500,1606,1201,0,19,18,53,11,6,"04.07.12 09:46","31.08.12","http://www.startnext.de/killandprayfaywray"
399,"SILIZIUM - Ich Bin GOTHIC","Deutschland","Heilbronn","Musik",2000,2132,102,0,70,61,83,34,17,"01.06.12 12:03","31.08.12","http://www.startnext.de/silizium-ibg"
400,"Zwischen Himmel und Hölle","Deutschland","Stuttgart","Film / Video",2500,2680,525,0,74,69,63,9,14,"14.06.12 11:54","31.08.12","http://www.startnext.de/zwischen-himmel-und-hoelle"
401,"SEGULANI CHABE! - Ein Album aus und für Sambia (Hilfe zur Selbsthilfe)","Deutschland","Augsburg","Musik",2000,2090,1260,0,50,46,75,13,34,"01.08.12 15:12","31.08.12","http://www.startnext.de/segulani-chabe"
402,"Durch die Dunkelheit - Roman","Deutschland","Leipzig","Literatur",3500,3512,100,0,8,7,56,4,24,"31.05.12 16:15","30.08.12","http://www.startnext.de/buchprojekt-roman"
403,"Operation Monkey Business","Deutschland","Stuttgart","Literatur",5000,5281,2972,0,56,37,90,35,27,"30.05.12 10:59","29.08.12","http://www.startnext.de/monkey-business"
404,"Dokumentation: fairventure 2012 Mehr als Geld - Wirtschaft gestalten","Deutschland","Leipzig","Journalismus",1000,1006,580,0,16,14,36,3,10,"29.05.12 18:22","27.08.12","http://www.startnext.de/fairventure"
405,"Favourite Shorts Night @ FFF Berlin 2012","Deutschland","Berlin","Event",500,500,30,25,14,14,28,2,3,"13.08.12 12:46","27.08.12","http://www.startnext.de/fffberlin2012"
406,"Barcamp der Cultural Commons Collecting Society (C3S)","Deutschland","Berlin","Event",2000,2550,669,668,92,91,125,28,6,"30.07.12 12:02","26.08.12","http://www.startnext.de/c3sbarcamp"
407,"THE ARTBREAKHEARTSHOP - Aufnahmen zur Eyes Collide  EP","Deutschland","Dresden","Musik",1000,1045,175,0,35,33,39,6,2,"24.05.12 13:41","24.08.12","http://www.startnext.de/theartbreakheartshop"
408,"Neue Plus49 Single 'Bow&Arrow' auf Vinyl im Radio und im Netz","Deutschland","Köln","Musik",3500,3540,1445,0,62,52,79,12,13,"06.07.12 16:26","24.08.12","http://www.startnext.de/bow-and-arrow"
409,"possible.movement","Deutschland","Berlin","Musik",300,500,0,0,8,7,13,0,0,"31.07.12 11:02","24.08.12","http://www.startnext.de/possible-movement"
410,"Jugend-Jazzorchester","Deutschland","Dresden","Musik",1000,1115,65,652,43,41,56,13,8,"26.07.12 10:40","21.08.12","http://www.startnext.de/jugendjazzorchester-sachsen"
411,"From Constant Visions   CD Veröffentlichung 'TRISTERIA'","Deutschland","München","Musik",2300,2620,615,0,90,84,105,22,11,"21.05.12 09:36","20.08.12","http://www.startnext.de/fromconstantvisions"
412,"Facing Europe - Eine Reise ins junge Europa","Deutschland","Leipzig","Journalismus",4800,5040,2110,0,101,99,113,32,17,"16.07.12 18:13","20.08.12","http://www.startnext.de/facing-europe"
413,"10forBrass - CD-Aufnahme","Deutschland","Hamburg","Musik",1500,1806,201,0,21,21,40,5,7,"31.05.12 17:10","19.08.12","http://www.startnext.de/10forbrass"
414,"The Taxi Dead","Deutschland","München","Film / Video",2000,2130,1010,0,27,27,67,12,12,"01.06.12 12:06","19.08.12","http://www.startnext.de/thetaxidead"
415,"Verliere nicht den Kopf","Deutschland","Stuttgart","Film / Video",888,1056,211,0,31,30,69,13,1,"10.08.12 17:01","19.08.12","http://www.startnext.de/rollthedice"
416,"KINDER - Ein Kurzspielfim von Julian Pörksen","Deutschland","Leipzig","Film / Video",2000,3020,1347,0,127,126,112,6,4,"11.07.12 17:15","17.08.12","http://www.startnext.de/kinder"
417,"CD Projekt des Vienna Saxophonic Orchestras","Österreich","Wien","Musik",3500,3500,2375,0,30,28,63,5,2,"31.05.12 12:33","15.08.12","http://www.startnext.de/cd-vienna-saxophonic-orchestra"
418,"Vorwärts nach weit - Printversion ","Deutschland","Hamburg","Journalismus",600,2448,316,0,143,141,102,14,15,"17.07.12 16:06","15.08.12","http://www.startnext.de/vorwaerts-nach-weit"
419,"Wolfgang Müller Album & Tour 2012/13","Deutschland","Hamburg","Musik",4000,4853,9,0,177,175,175,30,10,"18.07.12 15:30","14.08.12","http://www.startnext.de/neues-studioalbum-2012"
420,"Gewissenskrieg","Deutschland","Dortmund","Film / Video",2000,2026,994,0,24,20,62,11,22,"16.05.12 14:28","14.08.12","http://www.startnext.de/kurzfilm-gewissenskrieg"
421,"häppchenweise - Ein Abend, sechs Körper, wie weit würdest Du gehen?","Deutschland","Köln","Film / Video",10000,10865,789,0,391,382,607,136,44,"02.05.12 11:33","12.08.12","http://www.startnext.de/haeppchenweise"
422,"Fair und ökologisch hergestellte Cordhosen","Deutschland","Frankfurt am Main","Mode",3000,3025,1005,0,26,21,65,11,12,"12.06.12 15:22","12.08.12","http://www.startnext.de/cordhosenkampampagne"
423,"Electronic Swing Orchestra und die geheimnisvolle Chaos Maschine","Deutschland","Berlin","Musik",3000,3060,1661,0,77,74,109,18,6,"03.07.12 18:03","11.08.12","http://www.startnext.de/electronicswingorchestra-vinyl"
424,"Eine Frau - ein Projekt :  Matzumi   www.matzumi.de","Deutschland","Steyerberg","Musik",900,1300,120,0,26,25,45,12,17,"16.05.12 11:54","07.08.12","http://www.startnext.de/matzumi-music"
425,"Guts for Change - Fahrradtour für einen guten Zweck","Deutschland","Berlin","Film / Video",3500,4142,1096,0,147,133,137,26,22,"16.05.12 14:59","07.08.12","http://www.startnext.de/guts-for-change"
426,"We Are The Pigs - Ein Road Trip ins Epizentrum der Krise","Belgien","Stadt Brüssel","Fotografie",5000,5130,2105,0,96,92,128,28,21,"21.06.12 09:19","06.08.12","http://www.startnext.de/we-are-the-pigs"
427,"najboljoj mami - alleinerziehende Mütter in Bosnien-Herzegowina","Österreich","Wien","Fotografie",6500,6523,4928,0,48,34,109,5,15,"09.05.12 10:47","05.08.12","http://www.startnext.de/najboljoj-mami"
428,"Tu' Es - Der Film","Deutschland","München","Film / Video",1500,1670,1039,0,28,28,63,9,2,"17.07.12 14:58","05.08.12","http://www.startnext.de/tu-es"
429,"Momenta100 - 100 Tage Film","Deutschland","Kassel","Film / Video",1500,1510,350,0,11,10,33,3,8,"21.05.12 16:30","04.08.12","http://www.startnext.de/momenta100"
430,"FateToGo - Steel Case Edition","Deutschland","Nürnberg","Games",3250,5462,150,0,128,127,183,85,21,"10.05.12 14:30","03.08.12","http://www.startnext.de/fate-to-go"
431,"Romeo und Julia 2012","Deutschland","Saalfeld/Saale","Theater",200,1180,1130,0,8,8,23,2,1,"17.07.12 13:31","03.08.12","http://www.startnext.de/romeo-und-julia-2012"
432,"Das co:funding Handbuch","Deutschland","Dresden","Literatur",1000,3440,387,0,296,290,298,41,11,"03.05.12 12:04","02.08.12","http://www.startnext.de/cofunding-buch"
433,"CousCous - Das schönste Album 2012 :)","Deutschland","Dresden","Musik",4200,4480,838,0,97,89,125,43,14,"01.06.12 17:01","01.08.12","http://www.startnext.de/couscous-debutalbum"
434,"Iceland - lovely home for German women. A photobook","Deutschland","Berlin","Fotografie",6500,7085,1675,0,69,55,112,26,23,"05.06.12 14:48","01.08.12","http://www.startnext.de/lovely-home-iceland"
435,"ISOLAT!ON - A 25 hours event by MEETROPA. e.V.","Deutschland","Berlin","Event",500,505,425,0,12,8,20,7,3,"22.06.12 16:58","01.08.12","http://www.startnext.de/meetropa"
436,"THE LES CLÖCHARDS - auf dem Weg zum Fringe-Festival nach Edinburgh","Deutschland","Edinburgh","Musik",3500,4508,2168,0,60,54,89,20,12,"24.05.12 14:42","31.07.12","http://www.startnext.de/cloechards"
437,"Salon K &#8211, Kunst. Kultur. Festival, Special Edition 2012","Deutschland","Berlin","Event",1000,1000,920,0,10,8,33,1,17,"06.06.12 17:36","31.07.12","http://www.startnext.de/salon-k-2012"
438,"Der weiße Hase ","Deutschland","Köln","Film / Video",1500,1900,1050,0,16,16,45,4,17,"29.06.12 16:33","31.07.12","http://www.startnext.de/der-weisse-hase"
439,"Welcome Goodbye - Dokumentarfilm","Deutschland","Berlin","Film / Video",10000,10473,1138,0,51,49,182,43,48,"08.03.12 10:54","30.07.12","http://www.startnext.de/welcomegoodbye"
440,"DIE BORSIG-VERSCHWÖRUNG","Deutschland","Berlin","Theater",1000,1240,75,0,28,28,44,5,13,"15.05.12 19:14","30.07.12","http://www.startnext.de/borsig-verschwoerung"
441,"Rockt mit uns das Wohnzimmer","Deutschland","Korschenbroich","Event",500,500,280,0,16,16,23,4,0,"03.05.12 18:30","30.07.12","http://www.startnext.de/kuenstler-im-wohnzimmer"
442,"Kinospielfilm Innenkind","Deutschland","Berlin","Film / Video",14999,15133,5683,0,31,24,127,29,6,"24.05.12 10:57","30.07.12","http://www.startnext.de/innenkind"
443,"Lost Splendor - Verlorener Glanz","Deutschland","Berlin","Film / Video",7000,7875,4105,0,30,27,94,12,15,"24.05.12 13:58","30.07.12","http://www.startnext.de/verlorener-glanz"
444,"Fuchsbau | Plattform urbaner Kultur","Deutschland","Hannover","Musik",3000,3023,1288,0,59,55,83,7,3,"19.06.12 10:42","30.07.12","http://www.startnext.de/fuchsbau"
445,"DENKFIGUREN - Philosophie-Festival Dresden 2012","Deutschland","Dresden","Event",2100,2179,65,1370,37,29,60,12,1,"14.06.12 11:52","30.07.12","http://www.startnext.de/philosophie-festival"
446,"FOODSHARING","Deutschland","Köln","Erfindung",10000,11594,4331,0,403,394,842,147,14,"03.04.12 09:56","29.07.12","http://www.startnext.de/foodsharing"
447,"STEH AUF","Deutschland","Düsseldorf","Film / Video",3000,3126,2140,0,53,37,84,21,16,"21.06.12 15:42","28.07.12","http://www.startnext.de/steh-auf"
448,"  'das Küchentisch Album'","Deutschland","Essen","Musik",1500,5391,221,0,117,106,125,32,24,"23.04.12 12:05","26.07.12","http://www.startnext.de/albumkatjawerker"
449,"CALMUS ENSEMBLE - 'Mozärtliches Schneewittchen', Maxi-Single-Produktion","Deutschland","Leipzig","Musik",5000,5451,336,0,112,108,116,19,11,"30.05.12 11:01","25.07.12","http://www.startnext.de/calmus-schneewittchen"
450,"Wer anderen eine Grube gräbt --- deutsch-indischer Spielfilm","Deutschland","Bayreuth","Film / Video",8000,8000,2720,0,42,40,143,11,2,"25.05.12 17:45","25.07.12","http://www.startnext.de/grube-derfilm"
451,"Tiefer als die Seele","Deutschland","Bremen","Film / Video",1700,1726,1535,0,12,12,53,2,12,"29.05.12 18:19","25.07.12","http://www.startnext.de/seele"
452,"Konzertreise des Jugendorchesters Havixbeck nach Kroatien 2012","Deutschland","Havixbeck","Musik",1500,1610,950,0,11,11,50,3,3,"07.05.12 16:13","22.07.12","http://www.startnext.de/jugendorchsterhavixbeck"
453,"Harder und die Göre","Deutschland","Göttingen","Film / Video",7500,7501,3001,0,56,54,128,36,48,"30.05.12 11:25","22.07.12","http://www.startnext.de/harderfilm"
