id,"titel","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
212,"Information - Buch Eins: Selbstloslassen","Deutschland","Köln","Literatur",2000,2000,1270,0,16,16,32,7,3,"19.11.12 15:55","22.01.13","http://www.startnext.de/information-buch-eins-1"
213,"Kurzfilm: Blätter ohne Bäume","Deutschland","Bremen","Film / Video",2000,2125,1365,0,14,11,58,16,10,"13.12.12 14:52","21.01.13","http://www.startnext.de/blaetter-ohne-baeume"
214,"WARUM SIEGFRIED TEITELBAUM STERBEN MUSSTE","Deutschland","München","Film / Video",10000,10476,5369,0,100,91,172,36,28,"20.11.12 15:23","20.01.13","http://www.startnext.de/teitelbaum"
215,"go photo.","Deutschland","Düsseldorf","Fotografie",2000,2104,1524,0,38,38,62,10,0,"27.11.12 11:43","20.01.13","http://www.startnext.de/thisisgophoto"
216,"Black Salvation - Studiokosten Debütplatte","Deutschland","Leipzig","Musik",500,730,33,0,26,26,32,4,3,"13.12.12 11:31","19.01.13","http://www.startnext.de/blacksalvation"
217,"Conduct! Jede Bewegung Zählt","Deutschland","Berlin","Film / Video",25000,25665,12355,0,157,137,194,39,16,"13.11.12 17:09","18.01.13","http://www.startnext.de/conduct"
218,"Musikvideo 'Talk is Cheap' SPLIT","Deutschland","München","Film / Video",1222,1480,560,0,35,32,43,7,1,"05.12.12 12:09","18.01.13","http://www.startnext.de/split"
219,"Kafkas letzte Liebe. Die Biografie Dora Diamants.","Deutschland","Düsseldorf","Literatur",7000,7190,6270,0,15,13,84,3,6,"02.11.12 12:01","15.01.13","http://www.startnext.de/bio-dora-diamant"
220,"Omertà - Clan ohne Plan","Deutschland","Konstanz","Games",3000,3155,1008,0,93,93,126,33,9,"29.11.12 16:28","15.01.13","http://www.startnext.de/omerta"
221,"SCHULBUCH-O-MAT. Schulwissen in freie E-Books gepackt!","Deutschland","Berlin","Informationsangebot",10000,10660,1965,0,247,236,378,99,11,"14.11.12 12:53","13.01.13","http://www.startnext.de/schulbuch-o-mat"
222,"Dokumentarfilm 'Coming and going'","Deutschland","Wuppertal","Film / Video",4000,4446,255,1546,72,71,89,21,0,"07.11.12 11:08","13.01.13","http://www.startnext.de/coming-and-going"
223,"Rette das MoxxoM 04  (5-7.7.2013)","Deutschland","Ostritz","Event",5500,9390,810,0,210,184,169,35,2,"20.12.12 17:21","12.01.13","http://www.startnext.de/moxxom-2013"
224,"Mode-Accessoire","Deutschland","Hamburg","Mode",4000,4023,2371,0,23,21,115,15,16,"05.11.12 15:05","11.01.13","http://www.startnext.de/accessories"
225,"9 1/2","Deutschland","Berlin","Film / Video",3500,3720,2390,0,37,34,102,9,11,"31.10.12 18:17","10.01.13","http://www.startnext.de/9-1-2"
226,"Zeig doch mal positiv, wie Du mit Schmerz umgehst.","Deutschland","Berlin","Theater",2500,2517,1627,0,29,25,57,6,9,"14.11.12 10:21","10.01.13","http://www.startnext.de/paradoxien-der-schmerzen"
227,"SURPRISE, audiovisuelles Konzert","Deutschland","Berlin","Musik",1900,1940,1480,0,18,15,43,11,12,"16.11.12 17:39","08.01.13","http://www.startnext.de/surprise"
228,"'Fressen Lieben Kotzen' - Ein Projektabend zum Thema Essstörung","Deutschland","Dresden","Theater",700,755,485,0,22,20,43,10,2,"18.12.12 16:45","08.01.13","http://www.startnext.de/fressen-lieben-kotzen"
229,"Stimmen im Kopf - der Film","Deutschland","Berlin","Film / Video",5000,5062,4280,0,23,21,82,8,12,"02.11.12 16:06","07.01.13","http://www.startnext.de/stimmen-im-kopf"
230,"A Jew, a Muslim and a Christian walk into a Gallery...","Deutschland","Jerusalem","Kunst",3000,3035,1300,0,16,15,60,2,27,"23.11.12 17:52","07.01.13","http://www.startnext.de/larissa-aharoni-info-front"
231,"Touchy Mob & Tellavision - Cake Split 12' - Pressung der Schallplatte","Deutschland","Berlin","Musik",3200,4486,325,0,204,195,152,18,4,"17.12.12 14:03","04.01.13","http://www.startnext.de/touchy-mob-and-tellavision"
232,"Anonyme Zeichner","Deutschland","Berlin","Kunst",10000,10597,2172,0,265,245,307,65,34,"22.10.12 16:26","31.12.12","http://www.startnext.de/anonyme-zeichner"
233,"Grid Elements 2.0","Deutschland","Clausthal-Zellerfeld","Technologie",30000,32977,6677,0,103,99,195,111,32,"01.10.12 18:15","31.12.12","http://www.startnext.de/typo3-grid-elements-2-0"
234,"Schneeglöckchen (engl. Snowdrop)","Österreich","Wien","Film / Video",3000,3118,1023,0,53,52,93,14,21,"18.10.12 12:01","31.12.12","http://www.startnext.de/schneegloeckchen"
