id,"titel","starter","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
225,"Anton Haas - Buchhalter! Ein Vampir-Roman.  ","Jann von der Brelie","Deutschland","Leipzig","Literatur",1800,50,0,0,1,1,28,3,7,"26.07.12 11:22","15.10.12","http://www.startnext.de/herr-haas"
226,"'Zyanid um Fünf'","Viola Kuch","Deutschland","Osnabrück","Theater",2900,350,70,0,19,19,62,9,10,"13.09.12 11:24","15.10.12","http://www.startnext.de/zyanid"
227,"extraRuhr - die App für Bücher aus dem Ruhrgebiet","Wolfgang Berke","Deutschland","Essen","Literatur",3850,475,0,0,4,4,58,3,4,"10.09.12 09:30","15.10.12","http://www.startnext.de/extraruhr-die-buecher-app"
228,"gringo² meets panamericana","Fynn Jedrysek","Deutschland","Berlin","Film / Video",1500,65,0,0,3,3,46,10,3,"04.09.12 18:47","15.10.12","http://www.startnext.de/gringo-meets-panamericana"
229,"KOMMANDO ZURUECK - 'back from out of space' Pressung & Hörspiel Na Prost!","Jan Kantyka","Deutschland","Münster","Hörspiel / Hörbuch",2700,182,0,0,9,9,53,4,4,"31.07.12 18:25","14.10.12","http://www.startnext.de/kommandozurueck"
230,"Der Wanderer - ein Horrorfilm der thrillt","André Rinke","Deutschland","Oberbergischer Kreis, Deutschland","Film / Video",2000,120,0,0,3,3,28,0,3,"27.08.12 11:02","14.10.12","http://www.startnext.de/der-wanderer"
231,"Kunst in der Kapelle","Corinna Willhardt","Deutschland","Kassel","Event",1800,30,0,0,2,2,26,8,13,"20.09.12 18:25","14.10.12","http://www.startnext.de/kunst-in-der-kapelle"
232,"Der Adventstroll","Sabrina Heuer","Deutschland","Hamburg","Hörspiel / Hörbuch",4500,615,40,0,16,16,61,10,8,"12.09.12 12:25","12.10.12","http://www.startnext.de/adventstroll"
233,"No Way To Vegas - Debütalbum","No Way To Vegas","Deutschland","München","Musik",5000,395,230,0,11,11,57,8,3,"03.08.12 14:25","10.10.12","http://www.startnext.de/no-way-to-vegas"
234,"Die Hüby Show","Roberto Martinez Martinez","Deutschland","München","Film / Video",1500,10,0,0,1,1,29,1,2,"20.08.12 17:08","10.10.12","http://www.startnext.de/hueby-hero"
235,"Concert Page Blanche","Laura Rajanen","Deutschland","Berlin","Musik",2500,145,80,5,6,6,35,3,5,"21.08.12 14:19","08.10.12","http://www.startnext.de/page-blanche-1"
236,"Der 'T4B' - ein iPad Gadget zur Komfortsteigerung","Bernhard Brettmeister","Deutschland","Kühbach","Erfindung",7500,146,100,0,5,5,81,5,2,"06.07.12 15:20","04.10.12","http://www.startnext.de/t4b"
237,"SoundDrop &#8211, Musik im öffentlichen Raum","Markus Kerschkewicz","Deutschland","Berlin","Erfindung",3500,7,1,0,3,3,69,3,0,"26.07.12 10:57","04.10.12","http://www.startnext.de/sounddrop"
238,"FrIKK - Festival Berlin 2012","Sebastian Hasse","Deutschland","Berlin","Event",750,175,0,0,11,10,50,10,8,"21.08.12 15:52","03.10.12","http://www.startnext.de/frikk-2012"
239,"THE BIG DRAW BERLIN 2012","Anna Chrusciel","Deutschland","Berlin","Event",6500,300,40,0,12,12,96,12,2,"19.09.12 17:08","03.10.12","http://www.startnext.de/das-grosse-zeichnen"
240,"Freiheit wär viel lustiger..  Anleitung zum modernen Nomadentum","Lim Timoy","Deutschland","Köln","Literatur",6880,80,0,0,5,5,91,4,5,"06.07.12 15:41","02.10.12","http://www.startnext.de/freiheit-waer-viel-lustiger"
241,"LÛRMMESSER","Andrey Ustinov","Deutschland","Köln","Design",5000,32,10,0,4,4,57,6,5,"02.07.12 17:38","02.10.12","http://www.startnext.de/noise-meter"
242,"The Bettle.tv","Gerrit Kemming","Deutschland","Berlin","Film / Video",5000,805,175,0,17,17,61,11,6,"15.08.12 14:30","02.10.12","http://www.startnext.de/thebettle-tv"
243,"Abschlussfilm 'Alt werden auf der Hallig' (AT) Hochschule Hannover","Christina Hellmold","Deutschland","Hannover","Film / Video",1200,25,0,0,2,2,37,4,2,"18.07.12 15:17","02.10.12","http://www.startnext.de/abschlussfilm-hallig"
244,"Neo Mag - Ein neues Schmuckstück mit neuen Designs","Marc Geldmacher","Deutschland","Umkirch","Design",2000,200,35,0,9,8,29,8,2,"16.08.12 17:44","01.10.12","http://www.startnext.de/neomag-motive"
245,"SPOTZ magazine das Jugendmagazin für den Bodensee","Jürgen Wagner","Deutschland","Konstanz","Journalismus",5000,20,0,0,1,1,3,0,0,"31.07.12 18:13","01.10.12","http://www.startnext.de/spotz-magazine"
246,"5 Jahre Pilotenkueche - Geburtstagskatalog","Johannes Listewnik","Deutschland","Leipzig","Fotografie",1500,825,285,0,29,22,42,15,2,"10.09.12 15:10","01.10.12","http://www.startnext.de/pilotenkueche-geburtstag"
247,"Invision Power Board Single Sign On Bridge for Drupal (IPBWI for Drupal)","Matthias Reuter","Deutschland","Hamburg","Technologie",1200,10,1,0,1,1,31,2,3,"27.07.12 09:26","30.09.12","http://www.startnext.de/ipbwi-for-drupal"
248,"Noddr.de - Demokratie 2.0","Henri Nathanson","Deutschland","Berlin","Technologie",500,10,0,0,1,1,12,3,1,"29.08.12 11:31","30.09.12","http://www.startnext.de/noddr"
249,"Layla begleitet Oxana auf Spurensuche nach Tatjana","Lola Zuckerman","Deutschland","Berlin","Theater",2000,320,0,0,6,6,31,2,7,"30.07.12 15:51","30.09.12","http://www.startnext.de/tanzende-erinnerung"
250,"NRW Poetry Slam Meisterschaften 2012","Cornelia Berndt","Deutschland","Paderborn","Event",880,125,11,0,6,6,27,1,4,"30.07.12 14:46","30.09.12","http://www.startnext.de/nrw-slam-2012"
251,"Ein Spiel wie das klassische Memory &#8211, in 3D und fürs iPhone.","Andreas Eric Meyer","Deutschland","München","Games",5000,611,146,0,41,32,76,22,6,"10.08.12 09:55","30.09.12","http://www.startnext.de/two-of-one"
252,"PUR - Stand der Dinge","Robert Kothe","Deutschland","Berlin","Fotografie",2250,185,20,0,7,7,34,2,3,"06.08.12 15:50","30.09.12","http://www.startnext.de/pur"
253,"Fieber - Ein Abschlussfilm","Gabriel Manz","Deutschland","Frankfurt am Main","Film / Video",2000,24,0,0,2,2,30,0,1,"10.07.12 18:27","28.09.12","http://www.startnext.de/fieber"
254,"FALL - Kurzfilm","Michael Oestreich","Deutschland","Berlin","Film / Video",5000,3785,340,0,39,37,108,20,9,"03.07.12 10:27","28.09.12","http://www.startnext.de/fall"
255,"Ausstellungskatalog I &#9829, Pubertät. Heike Kati Barath + Joachim Weischer","Kunstverein Schwerin","Deutschland","Schwerin","Kunst",5000,420,200,20,8,8,59,5,0,"31.07.12 18:08","28.09.12","http://www.startnext.de/katalog-i-love-pubertaet"
256,"RESPON - first community-based none-Profit Modelabel","Fabian Hüttel","Deutschland","Hannover","Mode",1300,30,0,0,1,1,31,0,1,"27.06.12 18:18","26.09.12","http://www.startnext.de/respon"
257,"BERLIN WERWOLF 2 - Kultige Urban Fantasy aus Berlin","Rainer Stenzenberger","Deutschland","Berlin","Literatur",4800,1130,0,0,18,18,76,21,15,"13.07.12 22:59","25.09.12","http://www.startnext.de/berlin-werwolf-2"
258,"Performance-Tour &#8222,BIST DU GENDER ODER WAS?&#8220, &#8230, be part of it!","Barbara Rapp","Österreich","Villach","Theater",5000,435,215,0,5,3,82,5,5,"29.06.12 14:32","25.09.12","http://www.startnext.de/bistdugenderoderwas"
259,"Das Herz wiegt 300g","Bernard Bieling","Deutschland","Ruppichteroth","Literatur",20000,816,56,0,16,16,125,66,42,"12.07.12 14:41","22.09.12","http://www.startnext.de/dasherzwiegt300g"
260,"Der Pinke Schal - Ein Theaterstück von Planet Pink ","Linda Wulkau","Deutschland","Potsdam","Theater",600,20,0,0,2,2,30,0,0,"25.07.12 16:55","21.09.12","http://www.startnext.de/der-pinke-schal"
261,"&#8734,ung!  Achtung gestalten rund um die U8","Lisa Ulate Jimenez","Deutschland","Berlin","Event",3500,168,20,0,7,7,56,4,1,"10.08.12 17:45","20.09.12","http://www.startnext.de/8ung"
262," bersetzung des 4. Bandes des Valashu-Epos von David Zindell","Susanne Gerold","Deutschland","Offenburg","Literatur",14499,5820,1000,0,52,49,118,20,15,"21.06.12 15:33","19.09.12","http://www.startnext.de/valashu-epos"
263,"Near Space Photography: Starter-Kit","Dennis Borchert","Afghanistan","Dessau","Fotografie",2500,85,10,0,5,5,36,9,1,"21.06.12 15:27","19.09.12","http://www.startnext.de/nearspacephotography"
264,"GERMAN RODEO - Fotografien & Texte von David Trattles","ONKEL & ONKEL","Deutschland","Berlin","Fotografie",10000,921,80,0,25,23,121,18,9,"17.08.12 11:19","19.09.12","http://www.startnext.de/onkel-and-onkel"
265,"pink elephants - the movie","Susanne Bohlmann","Deutschland","Köln","Film / Video",25000,3509,2209,0,28,28,135,10,6,"01.08.12 14:49","19.09.12","http://www.startnext.de/pink-elephants"
266,"HTWWWM","Gaby Mutschke","Deutschland","Bottrop","Event",3000,10,0,0,1,1,53,2,21,"30.07.12 11:45","15.09.12","http://www.startnext.de/htwwwm"
267,"Berlin meets New York  - Produzenten-Galerien überwinden Grenzen","Romy Campe","Deutschland","Berlin","Kunst",6000,280,0,0,4,4,87,5,9,"23.07.12 18:13","15.09.12","http://www.startnext.de/berlin-meets-newyork"
268,"Filmprojekt 'GAV/In Zeiten des Wandels' (Arbeitstitel)","Till Gombert","Deutschland","Freiburg","Film / Video",1500,163,38,0,12,12,39,6,1,"13.08.12 14:06","15.09.12","http://www.startnext.de/in-zeiten-des-wandels"
269,"Neuland - Das Labyrinth der Finsternis","Mario Hauser","Österreich","Gunskirchen","Film / Video",15000,30,0,0,1,1,115,8,2,"11.07.12 17:11","14.09.12","http://www.startnext.de/neuland"
270,"Nymphenbad im Dresdner Zwinger - Fotoperformance und Inszenierung","Georg Knobloch","Deutschland","Dresden","Theater",1825,355,0,0,9,9,31,3,10,"16.08.12 14:00","14.09.12","http://www.startnext.de/nymphenbadperformance"
271,"Mit dem Fixie übers Kopfsteinpflaster","Hubert Hill","Deutschland","Weimar","Film / Video",9121,140,10,0,7,7,129,9,6,"06.08.12 17:02","14.09.12","http://www.startnext.de/mit-dem-fixie-uebers"
272,"Frische Luft für das Alte Hallenbad","Herwig Bauer","Österreich","Feldkirch","Event",3000,150,20,0,6,6,57,5,2,"06.07.12 11:43","13.09.12","http://www.startnext.de/heisse-luft"
273,"'NANU?' - Das regionale Familienmagazin der GUB","Elke Matuschek","Deutschland","Weinheim","Journalismus",3900,450,20,250,6,6,54,9,8,"06.07.12 16:48","11.09.12","http://www.startnext.de/familienmagazin-nanu"
274,"Veröffentlichung der Mathematisch - populärwissenschaftlichen Reihe","Dipl.-Math. Franz Hermann","Deutschland","Dresden","Literatur",2000,20,0,0,3,3,35,1,0,"30.08.12 18:03","11.09.12","http://www.startnext.de/math-populaerwis-reihe"
275,"Susurri - Nie wieder Langeweile","René Winkelmann","Deutschland","Krefeld","Technologie",5000,65,5,0,3,3,51,6,3,"04.07.12 16:08","08.09.12","http://www.startnext.de/susurri"
276,"Pastellmalerei 'Tierportraits'","Michael Schnitker","Deutschland","Hünxe","Literatur",3000,6,0,0,2,2,59,2,5,"08.06.12 16:07","08.09.12","http://www.startnext.de/pastellmalerei-tierportraits"
277,"theaterlabor bremen fragt: Was tun bei akutem 'Kulturinfarkt'? ","Theaterlabor Bremen","Deutschland","Bremen","Kulturelle Bildung",9000,160,0,70,4,4,111,1,1,"14.06.12 11:32","08.09.12","http://www.startnext.de/akuter-kulturinfarkt"
278,"Musikvideo - Freche Früchtchen - Mein Liebesvitamin","Christopher Gro¤","Deutschland","Wilhelmshaven","Musik",2430,26,0,0,2,1,36,0,1,"06.07.12 15:21","08.09.12","http://www.startnext.de/musikvideo-mein-liebesvitamin"
279,"Street Music Reportage","Giovanni Lo Curto","Deutschland","Berlin","Journalismus",6000,51,0,0,2,2,82,15,8,"03.08.12 17:35","08.09.12","http://www.startnext.de/streetmusicreportage"
280,"SPHERES &#8226, Between Dimensions - Sammelkartenspiel / Brettspiel","Matthias Bichlmeier","Deutschland","München","Games",17500,285,0,0,7,7,104,27,5,"27.07.12 10:25","08.09.12","http://www.startnext.de/spheres"
281,"German Lifestyle Award - Mode aus Hanftextilien","Felicitas van Daalen","Deutschland","Adelsdorf","Mode",500,115,50,0,13,12,31,4,0,"12.07.12 18:00","07.09.12","http://www.startnext.de/gla-mode-aus-hanftextilien"
282,"German Lifestyle Award - Sustainable Danceclub","Felicitas van Daalen","Deutschland","Rotterdam","Event",500,5,0,0,1,1,10,0,0,"12.07.12 17:59","07.09.12","http://www.startnext.de/gla-nachhaltige-eventkonzept"
283,"German Lifestyle Award - Nachhaltiges Einkaufen","Felicitas van Daalen","Deutschland","Berlin","Erfindung",500,10,0,0,1,1,25,2,0,"12.07.12 18:01","07.09.12","http://www.startnext.de/gla-nachhaltig-einkaufen"
284,"German Lifestyle Award - Zero Waste Fashion","Felicitas van Daalen","Deutschland","Mönchengladbach","Mode",500,78,20,0,10,10,37,4,0,"12.07.12 17:55","07.09.12","http://www.startnext.de/gla-zero-waste-fashion"
285,"'Alex Goes Africa!' - Social work meets creativity","Daniel Kröll","Deutschland","Düsseldorf","Fotografie",1500,5,0,0,1,1,30,0,4,"12.06.12 15:16","03.09.12","http://www.startnext.de/alex-goes-africa"
286,"SQUIZ TEABAG","Sören Knöll","Deutschland","Berlin","Erfindung",3200,258,31,0,15,15,78,11,1,"09.07.12 13:50","02.09.12","http://www.startnext.de/squiz-teabag"
287,"NZDeutschland - Multimediales Online Magazin ","Claudia Heydolph","Deutschland","Hamburg","Journalismus",4990,25,0,0,1,1,51,3,6,"30.07.12 16:32","02.09.12","http://www.startnext.de/nzdeutschland"
288,"Festivaldokumentation Peal 2012","Killian Linck-Ryan","Österreich","Graz","Event",2000,60,10,0,5,5,39,8,1,"17.08.12 11:01","02.09.12","http://www.startnext.de/pealfestival-2012"
289,"Kommt ein Vogel geflogen","Ismail Sahin","Deutschland","Berlin","Film / Video",9500,1860,435,0,33,33,125,21,11,"01.06.12 12:21","01.09.12","http://www.startnext.de/kommteinvogelgeflogen"
290,"Sammeln Sie Treuebananen? (Komödie, Spielfilm)","Daniel Mechling","Deutschland","München","Film / Video",30000,35,0,0,2,2,102,3,4,"15.06.12 17:25","01.09.12","http://www.startnext.de/treuebananen"
291,"artagenda.com |æart. here. now.","Claudius Krucker","Schweiz","Berlin","Fotografie",20000,310,0,0,3,3,109,1,6,"06.07.12 17:21","01.09.12","http://www.startnext.de/artagenda"
292,"Musikvideoproduktion Fightball","A B","Deutschland","Berlin","Film / Video",1500,55,0,0,2,2,28,0,1,"26.07.12 09:21","01.09.12","http://www.startnext.de/musikvideo-fightball"
293,"Alpgang 2012, Alp Magazin 2012","Harald Taglinger","Schweiz","Obergurgl","Journalismus",2000,20,0,0,1,1,26,1,1,"21.06.12 14:48","01.09.12","http://www.startnext.de/alpgang-2012"
294,"m'i'electric","Matthias Mohr","Deutschland","Hamburg","Technologie",5000,670,20,0,7,7,55,3,2,"14.06.12 11:06","31.08.12","http://www.startnext.de/m-i-electric"
295,"Hanns Magazin","Lukas Berger","Deutschland","Hannover","Journalismus",2000,5,0,0,1,1,35,1,3,"03.08.12 13:57","31.08.12","http://www.startnext.de/hanns"
296,"Kids Creation Studio - Kinderzeichnungen werden lebendig!","Maryam Sakata","Deutschland","Düsseldorf","Design",2500,597,62,0,25,25,86,21,7,"14.06.12 14:29","31.08.12","http://www.startnext.de/kidscreationstudio"
297,"Stra¤enmusikfestival Würzburg","Rena Gradmann","Deutschland","Würzburg","Event",1200,40,0,0,2,2,29,5,7,"20.07.12 11:02","31.08.12","http://www.startnext.de/stramu"
298,"Stille Wasser - Ein Spielfilmprojekt der Filmarche","Hans Henschel","Deutschland","Berlin","Film / Video",7000,355,60,0,17,16,90,8,1,"06.07.12 16:51","31.08.12","http://www.startnext.de/stille-wasser"
299,"live für die insel 2012","La Bohàngn","Deutschland","Hamburg","Event",2000,45,0,5,7,7,44,3,5,"11.07.12 10:19","31.08.12","http://www.startnext.de/livefuerdieinsel"
300,"Midlife oder die Ballade vom Schamlosen Scheitern","Claudia Claus","Deutschland","Hamburg","Theater",800,425,245,0,12,10,38,6,7,"13.07.12 15:36","30.08.12","http://www.startnext.de/midlife-oder-die-ballade-vom-s"
301,"HIS STORY the Film!","Dominik Wein","Deutschland","Berlin","Film / Video",13000,776,11,0,13,13,113,10,3,"18.06.12 09:37","28.08.12","http://www.startnext.de/his-story"
302,"DATING LANZELOT - bundesweiter Kinostart 30.08.2012","René Römert","Deutschland","Berlin","Film / Video",6969,370,12,0,14,14,94,6,3,"31.07.12 16:11","26.08.12","http://www.startnext.de/dating-lanzelot"
303,"Zeitalter der Eroberungen","Maximilian Wehage","Deutschland","Bremen","Games",500,20,0,0,1,1,16,0,4,"25.05.12 17:48","25.08.12","http://www.startnext.de/zde"
304,"HipHop-Jam Braunschweig","Jan Seelbach","Deutschland","Braunschweig","Event",5000,291,149,0,14,14,79,1,5,"21.06.12 14:47","25.08.12","http://www.startnext.de/graffitikunst-rap"
305,"Theater-Film Produktion Mit Deinen Augen in Berlin","Markus Obermeier","Deutschland","Berlin","Film / Video",3000,390,175,0,10,10,68,8,5,"06.07.12 16:44","24.08.12","http://www.startnext.de/mit-deinen-augen"
306,"abgrundtiefes.theater","Nora von Breitenbach","Deutschland","Bremen","Theater",1000,105,0,0,2,2,32,0,4,"18.07.12 17:31","23.08.12","http://www.startnext.de/abgrundtiefes-theater"
307,"Entertainment for the Braindeads 'roadkill' as a vinyl-release","Patrick Wolter","Deutschland","Berlin","Musik",5000,1879,64,0,63,63,110,16,3,"06.07.12 16:49","19.08.12","http://www.startnext.de/roadkill-on-vinyl"
308,"WineInspector - erste Buch Veröffentlichung","Thomas Mei¤ner","Deutschland","Chemnitz","Literatur",1250,70,0,0,1,1,39,2,12,"19.06.12 11:02","18.08.12","http://www.startnext.de/erstes-wineinspector-buch"
309,"Der Medizinmann - Ein modernes Märchen","A. Bruck","Österreich","Wien","Film / Video",2000,1040,500,0,4,4,38,0,5,"27.07.12 16:36","18.08.12","http://www.startnext.de/der-medizinmann"
310,"Behind All Walls - A Song For A New Consciousness","Christoph Kopmann","Deutschland","Berlin","Musik",2500,585,45,0,13,13,36,3,7,"18.07.12 14:15","17.08.12","http://www.startnext.de/behindallwalls"
311,"X-Solidus","Marco Franz","Deutschland","Me¤kirch","Musik",500,26,0,0,4,4,29,6,5,"29.06.12 17:45","16.08.12","http://www.startnext.de/x-solidus"
312,"Das Leben hat keinen Plan (Fotodokumentation zum Thema Brustkrebs)","Christine Ströhlein","Deutschland","Kulmbach","Fotografie",6000,865,45,0,15,14,101,13,2,"16.05.12 15:58","15.08.12","http://www.startnext.de/daslebenhatkeinenplan"
313,"Kartenspiel MafiaDollar","Heiko Weyen","Deutschland","Köln","Games",1000,261,0,0,15,15,45,20,5,"18.06.12 17:44","15.08.12","http://www.startnext.de/mafiadollar"
314,"American XMAS Dinner - Das unchristliche Weihnachtsfest","Dirk Meiswinkel","Deutschland","Köln","Event",2500,1095,0,0,6,6,27,1,5,"16.07.12 17:45","15.08.12","http://www.startnext.de/american-xmas-dinner"
315,"TIPP-KICK Championship - Das kultige Brettspiel als mobile Game","Manus Cleven","Deutschland","Düsseldorf","Games",5000,75,0,0,1,1,53,3,5,"16.07.12 17:09","15.08.12","http://www.startnext.de/tipp-kick-championship"
316,"Etwas Wundervolles","Robert Mai","Deutschland","Berlin","Film / Video",6000,591,26,0,7,6,85,7,2,"30.07.12 09:08","15.08.12","http://www.startnext.de/etwas-wundervolles"
317,"MASHUP Vienna Vinyl","Alexander Redl","Österreich","Wien","Musik",1500,72,0,0,4,4,35,2,1,"16.05.12 17:29","14.08.12","http://www.startnext.de/mvv"
318,"Fauser Magazin #4","Frederik Kumbartzki","Deutschland","Karlsruhe","Journalismus",1400,110,10,0,7,6,36,3,1,"10.05.12 12:21","09.08.12","http://www.startnext.de/fauser-4"
319,"Hörbuch zum Roman éGraues Land? von Michael Dissieux","Steffen Janssen","Deutschland","Ahlen","Hörspiel / Hörbuch",3000,120,0,0,6,6,9,0,2,"11.05.12 17:53","09.08.12","http://www.startnext.de/graues-land-1"
320,"KunstZwergFestival 03.-05. August 2012","Tanja Roolfs","Deutschland","Zweibrücken","Event",1000,60,0,0,3,3,31,1,5,"23.07.12 16:51","08.08.12","http://www.startnext.de/kunstzwergfestival"
321,"Tobende Wirbel der Magie","Jens Eichler","Deutschland","Hamburg","Literatur",3200,40,0,0,2,2,55,13,0,"08.06.12 09:10","07.08.12","http://www.startnext.de/fantasy-kinderroman"
322,"World Beat Festival (27. - 29- Juli 2012 in Freiburg/Breisgau)","World Beat Festival Team","Deutschland","Freiburg im Breisgau","Event",1111,122,0,0,2,2,31,0,0,"25.06.12 16:18","05.08.12","http://www.startnext.de/world-beat-festival"
323,"Adrenaline Syndrome - Next Generation iOS und Android Game","Juljan Mecklenburg","Deutschland","Königsbronn","Games",3000,1,0,0,1,1,54,3,5,"04.07.12 15:35","05.08.12","http://www.startnext.de/adrenaline-syndrome"
324,"Cycling the World","Thomas Gro¤erichter","Deutschland","Werner Stra¤e 104, 59387 Ascheberg, Deutschland","Film / Video",15000,2800,938,0,32,32,134,15,1,"29.05.12 09:46","04.08.12","http://www.startnext.de/cyclingtheworld-de"
325,"Clean Deluxe","Jan Kalt","Deutschland","Mannheim","Musik",8000,122,62,0,6,6,108,6,1,"29.05.12 17:37","03.08.12","http://www.startnext.de/cleandeluxe"
326,"Kurzfilm Herr Mannelig ","Rafael Selzer","Deutschland","München","Film / Video",1000,610,5,0,22,20,49,8,6,"11.06.12 17:14","01.08.12","http://www.startnext.de/herr-mannelig"
327,"terranauten: fotografie trifft tanz - willst du mit uns fliegen?","Kay Lisa Strasser Oettinghaus","Deutschland","Berlin","Fotografie",3000,220,0,0,7,7,58,2,1,"08.06.12 17:36","31.07.12","http://www.startnext.de/terranauten"
328,"Schreiben lernen mit My Lily Ant","Lukas Sokolowski","Deutschland","Kassel","Literatur",15000,60,0,0,1,1,101,14,1,"21.05.12 16:17","31.07.12","http://www.startnext.de/my-lily-ant"
329,"Fotoausstellung Barbara McQueen 'Steve McQueen - The Last Mile'","Matthias Grenda","Deutschland","Hamburg","Kunst",10000,10,0,0,1,1,100,9,1,"12.06.12 15:57","31.07.12","http://www.startnext.de/steve-mcqueen-the-last-mile"
330,"Rettet Oskar Schindlers Fabrik Teil 1","Christoph von Gallera","Deutschland","Biebertal","Kulturelle Bildung",6000,582,92,0,16,16,94,15,37,"04.05.12 18:20","31.07.12","http://www.startnext.de/schindlerfabrik1"
331,"shiny table. / it's just a carton box! / Leuchttisch aus Pappe","Paul Bernsdorf","Deutschland","Mannheim","Erfindung",600,170,55,0,9,8,37,3,15,"11.06.12 18:15","31.07.12","http://www.startnext.de/shinytable"
332,"Meat and Greed","Benedict Steirer","Österreich","Wien","Film / Video",2100,90,50,0,2,2,37,2,1,"12.06.12 15:03","31.07.12","http://www.startnext.de/meat-and-greed"
333,"Glückliche Schweine, gutes Gewissen 100% nachverfolgbar, das Model!","Josef Ruisinger","Deutschland","Burgheim","Film / Video",2000,80,25,0,5,5,28,8,6,"08.06.12 12:53","31.07.12","http://www.startnext.de/pickapig-das-schweineparadies"
334,"Back to the Roots","Phil Strahl","Österreich","Salzburg","Film / Video",4000,940,575,0,17,17,81,14,9,"26.06.12 14:32","31.07.12","http://www.startnext.de/roots"
335,"Spielplatz - das neue Lifestyle- und Gamesmagazin","Henning Ohlsen","Deutschland","Berlin","Journalismus",4500,45,0,0,3,3,58,2,0,"15.06.12 16:26","31.07.12","http://www.startnext.de/spielplatz"
336,"'203' - Ein Anglerwitz - oder wie die Anglo´s ihre Macht verloren","Janne Jürgensen","Deutschland","Hamburg","Film / Video",1500,65,15,0,4,4,35,7,7,"04.05.12 18:31","30.07.12","http://www.startnext.de/203"
337,"Postcard Mafia DVD Release","Gregorius Grey","Österreich","Wien","Film / Video",2300,480,25,0,16,16,46,6,6,"19.06.12 11:41","30.07.12","http://www.startnext.de/postcardmafia"
338,"Global Skillz 17.08.-19.08.2012","Farid Mohammadpour Baroug alias *JOKER*","Deutschland","Düsseldorf","Event",5000,205,60,0,7,7,54,5,2,"16.05.12 17:25","29.07.12","http://www.startnext.de/global-skillz-1"
339,"PONS - Ein postapokalyptisches Portrait","Fruit Media","Österreich","Graz","Film / Video",2500,415,0,0,8,8,44,8,5,"03.07.12 16:36","29.07.12","http://www.startnext.de/pons"
340,"Text Vinyl-EP mit Downloadcode und selbstgedruckten Cover","Lutz Schülke","Deutschland","Hamburg","Musik",1600,76,0,0,4,4,33,1,5,"21.05.12 17:28","28.07.12","http://www.startnext.de/text-vinyl-ep-mit-downloadcode"
341,"FRida & freD: Projekt Weltenbummel","Holly Hasted","Österreich","Graz","Kunst",2400,55,50,0,4,4,28,2,3,"30.04.12 12:33","27.07.12","http://www.startnext.de/weltenbummel"
342,"A VICIOUS BUNCH | Der Film","Tobias Freye / RambaZamba Pictures","Deutschland","Bielefeld","Film / Video",15000,1460,330,0,22,22,113,12,10,"25.06.12 17:54","25.07.12","http://www.startnext.de/aviciousbunch"
343,"Krieg auf dem Teppich - die Recherche","Helga Bahmer","Deutschland","Hamburg","Film / Video",5000,198,150,0,4,3,56,2,6,"08.06.12 13:02","25.07.12","http://www.startnext.de/krieg-auf-dem-teppich"
344,"Die Self-Publisher-Bibel","Matthias Matting","Deutschland","München","Journalismus",7500,2883,53,0,37,36,103,23,9,"22.06.12 16:17","24.07.12","http://www.startnext.de/e-book-bibel"
345,"Fotobuch 'Deutscher Karneval'","Holger Gro¤","Deutschland","Berlin","Fotografie",2000,205,0,0,6,5,55,4,1,"04.06.12 12:07","22.07.12","http://www.startnext.de/fotobuch-deutscher-karneval"
346,"WOODSTOCKENWEILER Festival 2012","Daniel Knapp","Deutschland","Hergensweiler","Event",2000,220,25,0,13,12,37,13,8,"31.05.12 18:05","19.07.12","http://www.startnext.de/woodstockenweiler"
347,"Die Matratzen aus natürlichen Fasern - Stroh, Hanf, Flachs, Heu, Wolle u.a","Antonius Grotenhermen","Lettland","Kuld&#299,ga","Design",2000,115,0,0,6,5,36,1,5,"29.06.12 15:18","18.07.12","http://www.startnext.de/naturmatratze"
348,"Fotobuch Gesichter entlang der Panamericana","Leonard Schmidt","Deutschland","Karlsruhe","Fotografie",1500,75,0,0,2,2,29,6,4,"25.04.12 14:42","17.07.12","http://www.startnext.de/fotos-von-chile-nach-kanada"
349,"Theater All You Need Goes Night Club","Arne Graeff","Deutschland","Köln","Theater",2000,190,85,0,9,9,54,0,7,"26.06.12 14:57","17.07.12","http://www.startnext.de/theater-in-diskotheken"
350,"Im Augenblick der Liebe","Johannes Thielmann","Deutschland","Berlin","Film / Video",25000,5186,105,0,31,30,60,6,7,"04.05.12 12:23","12.07.12","http://www.startnext.de/im-augenblick-der-liebe"
351,"Neuseeland - 1 Jahr Work and Travel Dokumentation","Steven Braner","Deutschland","Waldbrunn","Film / Video",550,5,0,0,1,1,25,1,5,"15.05.12 19:24","11.07.12","http://www.startnext.de/neuseeland"
352,"Jahresausstellung 2012 - Klasse Metzel - alle zusammen","Maja Spiess","Deutschland","München","Kunst",3000,17,0,0,3,3,59,3,0,"19.06.12 16:59","11.07.12","http://www.startnext.de/alle-zusammen"
353,"365 Tipps zur Bildbearbeitung/Fotografie - ein Tageskalender für 2013 !","Sophia Frohmuth","Deutschland","Heidelberg","Fotografie",1650,5,0,0,1,1,30,5,7,"19.04.12 14:56","10.07.12","http://www.startnext.de/365ps"
