id,"titel","starter","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
132,"Das Tagebuch der Effi von Briest","M.A. Lena Braun","Deutschland","Berlin","Literatur",14000,1000,10,260,13,12,105,11,5,"30.11.12 09:38","12.01.13","http://www.startnext.de/effis-haus-4"
133,"Tatort Kirche","Raffael Nagel","Österreich","Marchegg","Film / Video",3500,365,275,0,8,6,60,5,1,"11.12.12 14:48","10.01.13","http://www.startnext.de/tatort-kirche"
134,"UnterwasserOper ","Claudia HERR","Deutschland","Berlin","Musik",18000,65,0,0,2,2,107,14,0,"23.11.12 11:42","06.01.13","http://www.startnext.de/unterwasseroper-aquaria-palaoa"
135,"Nofretete - 100 Jahre Fund und Faszination","Roman-Tassilo Huber","Deutschland","Freiburg","Kunst",2000,200,20,0,5,4,38,1,1,"29.11.12 17:13","06.01.13","http://www.startnext.de/nofretete-ausstellung-freiburg"
136,"PAPERBOARDS // Möbelstücke aus Recycle-Materialien","Ivor Puch","Deutschland","Frankfurt am Main","Design",5000,49,0,0,1,1,64,7,0,"21.11.12 16:39","04.01.13","http://www.startnext.de/paperboards"
137,"Der Keller, Shortfilm","Max Wittmann","Österreich","Wien","Film / Video",999,75,0,0,3,3,37,9,6,"16.10.12 19:27","31.12.12","http://www.startnext.de/der-keller"
138,"&#9829, teilbares Doppel-Herzkissen | Pärchenkissen | Freundschaftskissen &#9829,","Maren Rehm","Deutschland","Berlin","Design",5000,15,5,0,3,3,60,8,2,"12.10.12 14:24","31.12.12","http://www.startnext.de/doppel-herzkissen"
139,"Niederlausitz aktuell - die Onlinezeitung mit Bürgern für Bürger!","Benjamin Andriske","Deutschland","Cottbus","Journalismus",10000,286,86,0,11,11,107,26,7,"30.10.12 19:43","31.12.12","http://www.startnext.de/buergerzeitung"
140,"betonfeuerzeug","thomas wienands","Deutschland","Berlin","Design",1500,360,120,0,10,9,35,3,3,"22.11.12 09:17","31.12.12","http://www.startnext.de/betonfeuerzeug-1"
141,"ErdbeerBrause & Rock 'n' Roll - die Revue","Ulli Rosner","Deutschland","Düsseldorf","Musik",8000,98,20,0,3,3,103,2,4,"31.10.12 15:15","30.12.12","http://www.startnext.de/erdbeerbrause"
142,"2345 - Der Weltraum kennt kein Erbarmen!","Thomas Sefzig","Deutschland","Berlin","Film / Video",800,155,0,0,4,4,31,6,13,"22.11.12 11:16","30.12.12","http://www.startnext.de/2345"
143,"M.A.C. Venedig - Der Kunst ein Fest bereiten","Dorothea Bohde","Deutschland","Köln","Kulturelle Bildung",11111,1312,40,0,14,12,102,13,17,"22.10.12 19:09","26.12.12","http://www.startnext.de/m-a-c-venedig"
144,"GROUND ASSAULT - Ein taktisches Brettspiel","Gregor Theado","Deutschland","Saarbrücken","Games",2500,1980,725,0,21,20,54,11,35,"24.09.12 10:04","24.12.12","http://www.startnext.de/ground-assault"
145,"Erstes Album Exodus der Band ADLIGATE","Jürgen Waschk","Deutschland","Hagen","Musik",2250,167,22,0,11,10,38,8,4,"12.11.12 09:54","24.12.12","http://www.startnext.de/adligate"
146,"Wer stört?","Sandra Lehninger","Österreich","Wien","Mode",2500,324,55,0,11,11,45,2,3,"23.10.12 15:34","24.12.12","http://www.startnext.de/kollektion-stoert"
147,"birque - Birkenstammdeko","Simon Staib","Deutschland","Berlin","Design",1000,8,3,0,2,2,34,4,0,"25.10.12 16:20","23.12.12","http://www.startnext.de/birque"
148,"Relaunch der Webseite abgeordnetenwatch.de","Boris Hekele","Deutschland","Hamburg","Informationsangebot",7500,1345,104,116,47,47,155,20,5,"06.11.12 19:22","22.12.12","http://www.startnext.de/abgeordnetenwatch-relaunch"
149,"Online Video Live Lessons (Gitarre & Drums)","Marco Besler","Deutschland","Neustadt an der Weinstra¤e","Musik",3500,160,0,0,7,6,62,8,6,"07.11.12 11:40","22.12.12","http://www.startnext.de/video-live-musikunterricht"
150,"Music from Souldiers Ground","Raluca Pößl","Deutschland","Berlin","Musik",500,500,422,0,12,11,30,3,2,"28.11.12 15:28","21.12.12","http://www.startnext.de/ralucamusic"
151,"Gonzo Suicide: Gallery Weekend ","Henri Boit","Deutschland","Berlin","Film / Video",5000,386,130,0,5,5,57,1,7,"19.10.12 11:47","20.12.12","http://www.startnext.de/gonzo-suicide"
152,"CHRONIC - Mastering / Layout / Pressung unserer Debüt-EP","Michael Wittwer","Deutschland","Köln","Musik",1500,439,31,0,10,10,36,0,6,"15.11.12 09:48","20.12.12","http://www.startnext.de/chronic-debuet-ep"
153,"PCinKey. Das Keyboard mit eingebautem High-End PC.","James Kirchhoven","Deutschland","Düsseldorf","Erfindung",5000,1,0,0,1,1,68,22,1,"12.11.12 17:22","18.12.12","http://www.startnext.de/pcinkey-das-keyboard"
154,"Herr Tod von nebenan","David Hoffmann","Deutschland","Chemnitz","Film / Video",2500,238,34,116,14,11,42,4,12,"22.10.12 14:03","17.12.12","http://www.startnext.de/herr-tod"
155,"Im reinen Spiegel aufgefangen - Ein Figurentheater","René Arnold","Deutschland","Berlin","Theater",2000,50,0,0,3,3,35,1,0,"09.11.12 14:06","16.12.12","http://www.startnext.de/spiegel"
156,"(Vor-)Lesebuch für Krebskranke Kinder","Sunny Berg","Deutschland","Ansbach","Literatur",5000,104,5,0,7,7,62,27,0,"20.11.12 15:35","16.12.12","http://www.startnext.de/max-haarlos-3"
157,"Bewegungsroller für Kinder","Geo Koef","Österreich","Innsbruck","Design",9800,20,0,0,1,1,109,2,0,"10.10.12 17:12","15.12.12","http://www.startnext.de/bewegungsroller"
158,"Ich sehe die Sonne","Olaf Thalwitzer","Deutschland","Zwickau","Film / Video",5000,21,0,0,2,2,55,3,0,"08.11.12 16:36","15.12.12","http://www.startnext.de/isds"
159,"Lucie Marshall - how my boobs became food or the facts of motherhood","Tanya Neufeldt","Deutschland","Berlin","Literatur",5000,1600,230,0,32,30,76,5,4,"29.10.12 16:59","14.12.12","http://www.startnext.de/lucie-marshall"
160,"RADIO M NCHEN - Konzept für einen frischen Kultursender der Stadt","E.Schmidt & A.v.Dercks","Deutschland","München","Journalismus",14500,5859,5211,0,20,20,138,24,53,"06.09.12 15:50","13.12.12","http://www.startnext.de/radiomuenchen"
161,"ASTROchron - Schau ins All","Andreas Klinksiek","Deutschland","Gleichen","Design",5000,100,0,0,1,1,53,7,2,"16.11.12 17:48","12.12.12","http://www.startnext.de/astrochron"
